2023-10-27T14:31:44.886  Database calls and statement text by call end time

mrskew --rc=calls.rc --top=0 "C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc"

input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

where expression:
	((1) and (1)) and $is_dbcall

group expression:
	sprintf("%27s %10d %10d %10d  %-40.40s %-.46s", $time1, $line, $parse_id, $exec_id, "· "x$dep.$name.(scalar(@bind)?"(".join(",",@bind).")":""), "· "x$dep.$sql)

matched input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

matched call names:
	'CLOSE'
	'ERROR'
	'EXEC'
	'FETCH'
	'PARSE'
	'XCTEND'

                   END-TIMe       LINE   PARSE-ID    EXEC-ID  CALL-NAME(BOUND-VALUES)                  STATEMENT-TEXT                                
 2023-10-26T14:52:10.380996        166        149        150  CLOSE                                    select xid from v$transaction where addr=(sele
 2023-10-26T14:52:10.381072        171        171          0  PARSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:52:10.381174        172        171        172  EXEC                                     select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:52:10.381413        174        171        172  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:52:10.383934        176        171        172  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:52:24.198811        182        171        172  CLOSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:52:24.199568        183        183          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:24.199674        191        183        191  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:24.199710        192        183        191  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:24.199733        193        183        191  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:24.200463        198        198          0  PARSE                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:52:24.200563        199        198        199  EXEC                                     select capacity from ticketsales where id = 1 
 2023-10-26T14:52:24.200643        201        198        199  FETCH                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:52:24.201574        205        198        199  FETCH                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:52:33.242642        210        198        199  CLOSE                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:52:33.243299        211        211          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.243401        219        211        219  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:52:33.243439        220        211        219  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
